window_id,ticker,strategy,family,config_id,params_json,data_status,window_start,window_end,ml_model,ml_fallback,ml_prediction_coverage,ml_oos_label_positive_rate,ml_oos_predicted_positive_rate,total_return,sharpe,max_drawdown,win_rate,avg_profit,trades,profit_factor,gross_profit,gross_loss
evaluation_middle_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-29 13:50:00-04:00,2026-07-09 11:35:00-04:00,n/a,False,1.0,,,0.007263996683213092,6.931820920565692,-0.0014349506245674437,0.6363636363636364,66.03633348375496,11,4.8335501044223586,915.884518795369,189.48485047406442
evaluation_late_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-07-09 11:40:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,-0.0003758866429115493,-0.309565604526448,-0.00456965090518624,0.25,-3.1323886909284067,12,0.9291761298467833,493.1457365517322,530.7344008428731
evaluation_full,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1.5_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,0.008187166957861258,4.596914080454456,-0.004569650905186129,0.4827586206896552,28.23161019952018,29,2.0147927442754394,1625.4988691949497,806.7821734088647
evaluation_early_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1.5_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-06-29 13:45:00-04:00,n/a,False,1.0,,,0.0013941733776186016,1.7076170026680895,-0.0012493762697761701,0.4,27.883467552368025,5,2.080207966551806,268.482612300485,129.06527453864487
evaluation_middle_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1.5_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-29 13:50:00-04:00,2026-07-09 11:35:00-04:00,n/a,False,1.0,,,0.007254746173402271,6.929246297288859,-0.0014349506245674437,0.7272727272727273,65.95223794002058,11,6.100780384280742,867.7027790497457,142.22816170951947
evaluation_late_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1.5_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-07-09 11:40:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,-0.0004678161313836915,-0.3883880324740527,-0.004569650905185907,0.3076923076923077,-3.5985856260295037,13,0.9118484235482376,483.91352609129274,530.6951392296762
evaluation_full,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1.5_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,0.008545393342898944,4.768291741641827,-0.00456965090518624,0.42857142857142855,30.519261938926604,28,2.0002297198859686,1708.8824089861923,854.3430746962474
evaluation_early_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1.5_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-06-29 13:45:00-04:00,n/a,False,1.0,,,0.0016486620776865468,1.9791902187565573,-0.0012493762697761701,0.4,32.9732415537316,5,2.277291825982165,293.94102404401093,129.07481627535293
evaluation_middle_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1.5_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-29 13:50:00-04:00,2026-07-09 11:35:00-04:00,n/a,False,1.0,,,0.007263996683213092,6.931820920565692,-0.0014349506245674437,0.6363636363636364,66.03633348375496,11,4.8335501044223586,915.884518795369,189.48485047406442
evaluation_late_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1.5_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-07-09 11:40:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,-0.0003758866429115493,-0.309565604526448,-0.00456965090518624,0.25,-3.1323886909284067,12,0.9291761298467833,493.1457365517322,530.7344008428731
evaluation_full,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1.5_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,0.008545393342898944,4.768291741641827,-0.00456965090518624,0.42857142857142855,30.519261938926604,28,2.0002297198859686,1708.8824089861923,854.3430746962474
evaluation_early_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1.5_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-06-29 13:45:00-04:00,n/a,False,1.0,,,0.0016486620776865468,1.9791902187565573,-0.0012493762697761701,0.4,32.9732415537316,5,2.277291825982165,293.94102404401093,129.07481627535293
evaluation_middle_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1.5_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-29 13:50:00-04:00,2026-07-09 11:35:00-04:00,n/a,False,1.0,,,0.007263996683213092,6.931820920565692,-0.0014349506245674437,0.6363636363636364,66.03633348375496,11,4.8335501044223586,915.884518795369,189.48485047406442
evaluation_late_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl1.5_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-07-09 11:40:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,-0.0003758866429115493,-0.309565604526448,-0.00456965090518624,0.25,-3.1323886909284067,12,0.9291761298467833,493.1457365517322,530.7344008428731
evaluation_full,AAPL,Mini TradingAgents,adaptive_risk,risk_sl2_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,0.008187166957861258,4.596914080454456,-0.004569650905186129,0.4827586206896552,28.23161019952018,29,2.0147927442754394,1625.4988691949497,806.7821734088647
evaluation_early_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl2_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-06-29 13:45:00-04:00,n/a,False,1.0,,,0.0013941733776186016,1.7076170026680895,-0.0012493762697761701,0.4,27.883467552368025,5,2.080207966551806,268.482612300485,129.06527453864487
evaluation_middle_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl2_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-29 13:50:00-04:00,2026-07-09 11:35:00-04:00,n/a,False,1.0,,,0.007254746173402271,6.929246297288859,-0.0014349506245674437,0.7272727272727273,65.95223794002058,11,6.100780384280742,867.7027790497457,142.22816170951947
evaluation_late_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl2_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-07-09 11:40:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,-0.0004678161313836915,-0.3883880324740527,-0.004569650905185907,0.3076923076923077,-3.5985856260295037,13,0.9118484235482376,483.91352609129274,530.6951392296762
evaluation_full,AAPL,Mini TradingAgents,adaptive_risk,risk_sl2_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,0.008545393342898944,4.768291741641827,-0.00456965090518624,0.42857142857142855,30.519261938926604,28,2.0002297198859686,1708.8824089861923,854.3430746962474
evaluation_early_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl2_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-06-29 13:45:00-04:00,n/a,False,1.0,,,0.0016486620776865468,1.9791902187565573,-0.0012493762697761701,0.4,32.9732415537316,5,2.277291825982165,293.94102404401093,129.07481627535293
